# flower0=-69.77,-23.39
# flower1=23.39,-69.77
# flower2=-23.39,69.77
# flower3=69.77,23.39
range_in,hoodDeg,rpm,arriveY_in,clearance_in,descentDeg,margin
8.0,79.50,1149,8.00,0.60,75.8,0.0308
10.0,78.00,1198,9.99,0.59,74.4,0.0258
12.0,80.00,1410,11.95,0.55,78.3,0.0219
14.0,78.00,1397,13.99,0.59,75.9,0.0190
16.0,74.50,1331,15.98,0.58,71.0,0.0166
18.0,79.00,1645,17.98,0.58,78.0,0.0161
20.0,79.50,1777,20.01,0.59,78.8,0.0149
22.0,78.50,1782,22.00,0.60,77.8,0.0124
24.0,78.50,1861,23.95,0.55,77.9,0.0119
26.0,74.50,1680,26.02,0.58,73.0,0.0105
