# fixed_rpm=3400
range_in,v_mps,hoodLo,hoodMid,hoodHi,sigmaHood,descentDeg,arrival_mps,pStay
30.0,-1.60,71.25,71.63,72.00,1.008,84.82,6.419,0.7209
30.0,-1.20,74.50,74.88,75.25,1.008,85.25,6.851,0.6206
30.0,-0.80,77.50,77.88,78.25,1.008,85.25,6.807,0.6315
30.0,-0.40,80.50,80.88,81.25,1.008,85.28,6.810,0.6309
30.0,0.00,83.75,84.00,84.25,1.031,85.33,6.859,0.6187
34.0,-1.60,70.50,71.00,71.50,1.000,84.50,6.684,0.6453
34.0,-1.20,73.75,74.13,74.50,1.008,84.40,6.539,0.6756
34.0,-0.80,76.75,77.25,77.75,1.031,84.90,7.012,0.5818
34.0,-0.40,80.00,80.38,80.75,1.068,84.92,6.996,0.5824
34.0,0.00,83.00,83.38,83.75,1.068,84.98,7.042,0.5862
38.0,-1.60,69.75,70.38,71.00,1.008,84.20,6.912,0.5832
38.0,-1.20,73.00,73.50,74.00,1.031,84.08,6.751,0.6159
38.0,-0.80,76.25,76.63,77.00,1.008,84.04,6.684,0.6295
38.0,-0.40,79.25,79.63,80.00,1.008,84.06,6.665,0.6344
38.0,0.00,82.25,82.63,83.00,1.008,84.11,6.692,0.6303
42.0,-1.60,69.00,69.63,70.25,1.008,83.37,6.674,0.6083
42.0,-1.20,72.25,72.88,73.50,1.068,83.77,6.944,0.5646
42.0,-0.80,75.50,76.00,76.50,1.031,83.72,6.860,0.5811
42.0,-0.40,78.50,79.00,79.50,1.031,83.73,6.838,0.5860
42.0,0.00,81.50,82.00,82.50,1.031,83.77,6.846,0.5855
42.0,0.40,84.50,84.75,85.00,1.000,82.60,6.003,0.7029
46.0,-1.60,68.25,69.00,69.75,1.031,83.10,6.888,0.5576
46.0,-1.20,71.50,72.13,72.75,1.068,82.93,6.721,0.5846
46.0,-0.80,74.75,75.38,76.00,1.068,83.41,7.033,0.5457
46.0,-0.40,77.75,78.38,79.00,1.068,83.40,6.993,0.5448
46.0,0.00,81.00,81.50,82.00,1.118,83.44,6.999,0.5447
46.0,0.40,84.00,84.50,85.00,1.118,83.51,7.034,0.5482
50.0,-1.60,67.25,68.13,69.00,1.068,82.29,6.719,0.5636
50.0,-1.20,70.75,71.50,72.25,1.118,82.65,6.899,0.5429
50.0,-0.80,74.00,74.63,75.25,1.068,82.55,6.793,0.5591
50.0,-0.40,77.00,77.75,78.50,1.031,83.09,7.131,0.5433
50.0,0.00,80.25,80.88,81.50,1.068,83.12,7.135,0.5445
50.0,0.40,83.25,83.88,84.50,1.068,83.17,7.151,0.5468
54.0,-1.60,66.50,67.38,68.25,1.068,81.47,6.583,0.5564
54.0,-1.20,70.00,70.75,71.50,1.118,81.80,6.712,0.5486
54.0,-0.80,73.25,74.00,74.75,1.118,82.27,6.953,0.5231
54.0,-0.40,76.50,77.13,77.75,1.068,82.23,6.891,0.5325
54.0,0.00,79.50,80.13,80.75,1.068,82.25,6.875,0.5358
54.0,0.40,82.50,83.13,83.75,1.068,82.30,6.888,0.5350
58.0,-1.60,65.50,66.50,67.50,1.031,80.66,6.482,0.5388
58.0,-1.20,69.00,70.00,71.00,1.118,81.56,6.892,0.5136
58.0,-0.80,72.50,73.25,74.00,1.118,81.41,6.764,0.5280
58.0,-0.40,75.75,76.50,77.25,1.118,81.94,7.031,0.5083
58.0,0.00,78.75,79.50,80.25,1.118,81.95,7.013,0.5078
58.0,0.40,82.00,82.63,83.25,1.179,82.00,7.024,0.5095
58.0,0.80,85.00,85.00,85.00,1.000,78.52,5.440,0.6265
62.0,-1.60,64.75,65.75,66.75,1.118,79.85,6.399,0.5147
