range_in,hoodPos,rpm,margin,hoodDeg,speedLo,speedHi,sigmaSpeed,pStay,halfLat_m
30.0,0.8333,2199,0.0603,73.33,4.6750,5.2750,0.07462,0.9281,0.2121
34.0,0.8000,2222,0.0597,72.00,4.7250,5.3250,0.07537,0.9281,0.2121
38.0,0.7333,2255,0.0588,69.33,4.8000,5.4000,0.07650,0.9281,0.2121
42.0,0.7000,2282,0.0557,68.00,4.8750,5.4500,0.07744,0.9425,0.2121
46.0,0.6667,2315,0.0549,66.67,4.9500,5.5250,0.07856,0.9712,0.2121
50.0,0.6333,2349,0.0541,65.33,5.0250,5.6000,0.07969,1.0000,0.2121
54.0,0.6000,2387,0.0509,64.00,5.1250,5.6750,0.08100,1.0000,0.2121
58.0,0.6000,2420,0.0502,64.00,5.2000,5.7500,0.08307,1.0000,0.2121
62.0,0.5667,2459,0.0472,62.67,5.3000,5.8250,0.08344,1.0000,0.2121
66.0,0.5333,2492,0.0466,61.33,5.3750,5.9000,0.08548,1.0000,0.2121
70.0,0.5000,2531,0.0437,60.00,5.4750,5.9750,0.08587,1.0000,0.2121
74.0,0.4667,2570,0.0452,58.67,5.5500,6.0750,0.08808,1.0000,0.2121
78.0,0.4667,2608,0.0424,58.67,5.6500,6.1500,0.08850,1.0000,0.2121
82.0,0.3667,2664,0.0456,54.67,5.7500,6.3000,0.09124,1.0000,0.2121
86.0,0.3667,2691,0.0431,54.67,5.8250,6.3500,0.09216,1.0000,0.2121
90.0,0.3333,2735,0.0424,53.33,5.9250,6.4500,0.09365,1.0000,0.2121
94.0,0.3000,2791,0.0416,52.00,6.0500,6.5750,0.10184,1.0000,0.2121
98.0,0.3000,2818,0.0392,52.00,6.1250,6.6250,0.09884,1.0000,0.2121
102.0,0.2667,2868,0.0405,50.67,6.2250,6.7500,0.10429,1.0000,0.2121
106.0,0.2667,2896,0.0382,50.67,6.3000,6.8000,0.10138,1.0000,0.2121
110.0,0.2333,2951,0.0375,49.33,6.4250,6.9250,0.10692,1.0000,0.2121
114.0,0.2333,2979,0.0353,49.33,6.5000,6.9750,0.10411,1.0000,0.2121
118.0,0.2000,3028,0.0365,48.00,6.6000,7.1000,0.10938,1.0000,0.2121
122.0,0.2000,3062,0.0361,48.00,6.6750,7.1750,0.11044,1.0000,0.2121
126.0,0.1667,3117,0.0355,46.67,6.8000,7.3000,0.11220,1.0000,0.2121
130.0,0.1667,3144,0.0334,46.67,6.8750,7.3500,0.11309,1.0000,0.2121
134.0,0.1333,3200,0.0328,45.33,7.0000,7.4750,0.11952,1.0000,0.2121
138.0,0.1333,3233,0.0325,45.33,7.0750,7.5500,0.12055,1.0000,0.2121
142.0,0.1000,3294,0.0336,44.00,7.2000,7.7000,0.12804,1.0000,0.2121
146.0,0.1000,3321,0.0316,44.00,7.2750,7.7500,0.12328,1.0000,0.2121
150.0,0.1000,3354,0.0313,44.00,7.3500,7.8250,0.12431,1.0000,0.2121
